player id, strength, wins, losses
5, 1.92166904638, 2,3
2, 1.91657863081, 1,3
7, 1.08894040956, 0,3
4, 2.28150822176, 3,3
10, 2.13423026547, 2,3
3, 1.67068293466, 1,3
1, 2.89121266573, 4,3
13, 1.77065959972, 3,3
16, 1.79165449707, 2,3
12, 1.11845237973, 1,3
15, 1.86670697612, 0,3
6, 2.0442588698, 5,3
17, 2.29699969404, 4,3
14, 1.83028717116, 3,3
21, 1.41870233324, 2,3
19, 1.03858462336, 1,3
24, 0.644319504251, 0,3
27, 1.64212106808, 3,3
26, 2.07565505717, 2,3
20, 1.87349191209, 1,3
18, 2.43564545371, 6,3
22, 2.38328726553, 5,3
30, 2.37133402544, 4,3
25, 1.93490773886, 3,3
31, 2.11201345885, 2,3
28, 1.77825326372, 1,3
32, 1.7935499668, 0,3
35, 2.00499086531, 2,3
39, 1.95320299911, 1,3
37, 0.9414931104, 0,3
29, 2.0943974383, 4,3
33, 1.88217126443, 3,3
43, 1.88672267185, 2,3
34, 1.49658465875, 1,3
36, 2.391336898, 5,3
38, 2.12248771417, 4,3
44, 1.91073647991, 3,3
42, 2.54635075696, 2,3
41, 2.05483176929, 1,3
47, 0.726554498038, 0,3
46, 2.49577780394, 3,3
49, 2.65598534046, 2,3
54, 2.15557384716, 1,3
50, 2.11364786918, 0,3
45, 2.6502968755, 7,3
11, 2.67959414091, 6,3
52, 2.94396468865, 5,3
48, 2.91795986231, 4,3
60, 2.30801626645, 3,3
55, 2.2805250935, 2,3
59, 1.6985660134, 1,3
57, 2.95257948366, 6,3
8, 2.26109713255, 5,3
53, 2.33504970639, 4,3
61, 2.22678789844, 3,3
58, 1.84863508714, 2,3
63, 1.80863380885, 1,3
62, 1.42623841117, 0,3
65, 2.13128524519, 2,3
70, 1.73642129239, 1,3
66, 1.14383663669, 0,3
64, 2.5813066281, 4,3
72, 2.50506418248, 3,3
73, 1.95640706472, 2,3
69, 1.52602394549, 1,3
67, 2.62625468941, 5,3
74, 2.33898755291, 4,3
79, 2.11341557112, 3,3
78, 1.62709873368, 2,3
80, 1.9551538055, 1,3
77, 0.925256172793, 0,3
75, 2.17157397463, 3,3
88, 1.72024137367, 2,3
84, 2.2255100297, 1,3
87, 0.716162001133, 0,3
83, 1.72983788683, 4,3
81, 2.06635728492, 3,3
89, 2.09966278788, 2,3
82, 1.79672678572, 1,3
9, 2.3511795698, 8,3
23, 2.99298316793, 7,3
71, 2.17859491551, 6,3
76, 2.42897115188, 5,3
91, 2.92750567957, 4,3
94, 2.16393070964, 3,3
96, 1.79540278263, 2,3
92, 2.01374246578, 1,3
95, 1.36164088554, 0,3
98, 1.9837390423, 2,3
100, 1.64937542583, 1,3
97, 1.49494785262, 0,3
93, 2.76673531192, 7,3
90, 2.25471636883, 6,3
99, 2.94986789185, 5,3
106, 2.35729286604, 4,3
104, 1.93001641749, 3,3
101, 1.9181685768, 2,3
103, 1.64435106313, 1,3
102, 2.26382843393, 3,3
111, 1.5532080853, 2,3
107, 2.19712126647, 1,3
109, 0.882570920055, 0,3
105, 1.4791212985, 4,3
115, 1.42441416053, 3,3
118, 1.85092212462, 2,3
116, 1.62079615282, 1,3
119, 1.09925540225, 0,3
110, 2.7541333256, 5,3
124, 2.26317904953, 4,3
114, 2.09597571879, 3,3
113, 1.52071180504, 2,3
123, 1.71025871203, 1,3
112, 2.57639375501, 6,3
108, 2.21932362949, 5,3
122, 2.13408619924, 4,3
128, 2.45677633782, 3,3
126, 2.70067483801, 2,3
121, 1.34323359725, 1,3
125, 2.35321574061, 0,3
129, 1.5991912566, 2,3
130, 0.876231277625, 1,3
134, 1.36216593077, 0,3
135, 1.24868410108, 3,3
140, 1.92194678133, 2,3
131, 1.84087607263, 1,3
85, 2.78141518318, 9,3
56, 3.55288154114, 8,3
127, 2.84065309201, 7,3
117, 2.40696416094, 6,3
142, 1.92604012879, 5,3
139, 2.09898415876, 4,3
136, 1.82055639583, 3,3
141, 1.98616676886, 2,3
137, 1.51371608795, 1,3
143, 1.54049377263, 0,3
148, 1.71095202525, 4,3
144, 1.78634094096, 3,3
146, 1.8980222303, 2,3
151, 1.51287024293, 1,3
150, 1.78202401441, 0,3
149, 1.93896571071, 3,3
145, 2.07599063606, 2,3
155, 1.2404929015, 1,3
86, 3.01146166337, 8,3
147, 2.64052592444, 7,3
132, 1.74447147678, 6,3
133, 1.68632506491, 5,3
153, 2.56580414566, 4,3
152, 2.42166729924, 3,3
159, 2.60347399514, 2,3
154, 1.47192936519, 1,3
160, 1.98471480688, 0,3
162, 1.71870042222, 2,3
163, 1.21684841623, 1,3
164, 1.13009604568, 0,3
138, 1.99430998346, 5,3
158, 3.18467642288, 4,3
167, 2.24229429668, 3,3
165, 1.51170148428, 2,3
171, 0.839564293595, 1,3
169, 2.52325919548, 4,3
175, 2.28486943001, 3,3
172, 0.632972027698, 2,3
176, 1.56029617839, 1,3
174, 1.52500442684, 0,3
170, 1.51190109477, 3,3
184, 2.14835574372, 2,3
178, 1.38629416891, 1,3
179, 1.21462803598, 0,3
168, 2.80914746925, 6,3
166, 2.59262760944, 5,3
173, 2.32422802498, 4,3
187, 1.80616544333, 3,3
183, 2.28242978861, 2,3
181, 1.41676029801, 1,3
177, 3.07016040697, 7,3
161, 2.7976671336, 6,3
180, 2.42242027246, 5,3
188, 2.01463464888, 4,3
189, 1.59090823474, 3,3
190, 1.22073427261, 2,3
191, 0.919166549069, 1,3
186, 1.53679655697, 0,3
196, 1.63158045106, 2,3
197, 1.67511211284, 1,3
198, 1.19101524419, 0,3
192, 2.29275027585, 5,3
194, 2.40818345829, 4,3
195, 1.85541836237, 3,3
199, 1.41045202844, 2,3
193, 1.79967376395, 1,3
203, 2.87183366086, 4,3
201, 2.12791278359, 3,3
205, 2.30993341223, 2,3
202, 2.23624214134, 1,3
